"901","Eurotrip","2004","Jeff Schaffer"
"902","Gone in 60 Seconds","2000","DominicSena"
"903","Oceans Twelve","2004","StevenSoderbergh"
"904","The Matrix Reloaded","2003","TheWachowski Brothers"
"905","Star Wars: Episode III - Revenge of theSith","2005","George Lucas"
"906","Bruce Almighty","2003","Tom Shadyac"
"907","Bicentennial Man","1999","ChrisColumbus"
"908","Lord of the Rings: The Return of theKing","2003","Peter Jackson"
"909","Elektra","2005","Rob Bowman"
"910","Spider Man 2","2004","Sam Raimi"
"921","Smallville: Season 3","2004","AlfredGough"
"922","Mr. and Mrs. Smith","2005","Doug Liman"
"923","Troy","2004","Wolfgang Peterson"
"924","The Matrix Revolutions","2003","TheWachowski Brothers"
"925","The Majestic","2001","Frank Darabont"
"926","Insomnia","2002","Christopher Nolan"
"927","Lord of the Rings: The Two Towers","2002","Peter Jackson"
"928","Daredevil","2003","Mark Steven Johnson"
"929","Spider Man","2002","Sam Raimi"
"930","Garden State","2004","Zach Braff"
"48001","The aviator","2004","MartinScorsese"
"48002","Elektra","2005","Rob Bowman"
"48003","Meet the Fockers","2004","Jay Roach"
"48004","Oceans Twelve","2004","StevenSoderbergh"
"48005","Titanic","1997","James Cameron"
"48006","National Treasure","2004","JonTurteltaub"
"48007","In Good Company","2004","Paul Weitz"
"48008","Coach Carter","2005","Thomas Carter"
"48009","Love Actually","2003","RichardCurtis"
"48010","White Noise","2005","GeoffreySax"
"48011","The Phantom of theOpera","2004","Joel Schumacher"
"135001","12 Monkeys","1995","Terry Gilliam"
"135002","Blade Runner","1982","Ridley Scott"
"135003","Snatch","2000","Guy Ritchie"
"135004","The Usual Suspects","1995","Bryan Singer"
"135005","Zoolander","2001","Ben Stiller"
"135006","The Life Aquatic","2004","Wes Anderson"
"135007","The Lost Boys","1987","Joel Schumacher"
"135008","Braveheart","1995","Mel Gibson"
"135009","The Royal Tenenbaums","2001","Wes Anderson"
"135010","Indiana Jones and the Last Crusade","1989","Steven Spielberg"
"135011","A Nightmare On Elm Street","1984","WesCraven"
"135012","Dumb and Dumber","1994","Peter Farrelly"
"135013","Elf","2003","Jon Favreau"
"135014","Monty Python and the Holy Grail","1975","Terry Jones"
"140001","Bourne Identity","2004","Doug Liman"
"140002","Oceans Eleven","2001","StevenSoderbergh"
"140003","Mr. and Mrs. Smith","2005","DougLiman"
"140004","Gone in 60 Seconds","2000","DominicSena"
"140005","Boiler Room","2000","Ben Younger"
"140006","Traffic","2000","Steven Soderbergh"
"140007","Snatch","2000","Guy Ritchie"
"140008","The Terminal","2004","StevenSpielberg"
"140009","Bride and Prejudice","2005","Gurinder Chadha"
"140010","The Hunted","2003","WilliamFriedkin"
"150001","Charlie andthe Chocolate Factory","2005","TimBurton"
"150002","Are WeThere Yet","2005","BrianLevant"
"150003","BeautifulBoxer","2005","Ekachai Uekrongtham"
"150004","Alone inthe Dark ","2005","Uwe Boll"
"150005","Hide andSeek","2005","John Polson"
"150006","CoachCarter","2005","Thomas Carter"
"150007","Elektra","2005","RobBowman"
"150008","RacingStripes","2005","Frederik Du Chau"
"150009","Kingdom ofHeaven","2005","Ridley Scott"
"150010","Alexander","2005","OliverStone"
"156001","Aviator","2004","Martin Scorsese"
"156002","The Incredibles","2004","Brad Bird"
"156003","Love the Hard Way","2001","PeterSehr"
"156004","Meet the Fockers","2004","Jay Roach"
"156005","The Terminator","1984","JamesCameron"
"156006","Jurassic Park","1993","StevenSpielberg"
"156007","The Godfather","1972","Franci FordCoppola"
"156008","Snatch","2000","Guy Ritchie"
"156009","Garden State","2004","Zach Braff"
"156010","The Lord of the Rings: The Fellowshipof the Ring","2001","Peter Jackson"
"217001","Catwoman","2004","Pitof"
"217002","The New World","2005","TerrenceMalick"
"217003","Hide And Seek","2005","John Polson"
"217004","Batman Begins","2005","ChristopherNolan"
"217005","Racing Stripes","2005","Frederik DuChau"
"217006","Cinderella Man","2005","Ron Howard"
"217007","The Ring 2","2005","Hideo Nakata"
"217008","Robots","2005","Chris Wedge"
"217009","Son Of The Mask","2005","LarryGuterman"
"217010","Kingdom Of Heaven","2005","RidleyScott"
"217011","Bride And Prejudice","2004","GurinderChadha"
"217012","Miss Congeniality 2: ARMED ANDFABULOUS","2005","John Pasquin"
"217013","Swimming Upstream","2003","RussellMulcahy"
"217014","Cube Zero","2004","Ernie Barbarash"
"217015","Unleashed","2005","Louis Leterrier"
"217016","Spiderman 2","2005","Sam Raimi"
"217017","Hitch","2005","Andy Tennant"
"217018","Million Dollar Baby","2005","ClintEastwood"
"217019","The Machinist","2005","Brad Anderson"
"217020","Alexander","2004","Oliver Stone"
